Year,Month,Rainfall
1920,Dec,2430
1921,Jan,0
1921,Feb,0
1921,Mar,140
1921,Apr,560
1921,May,0
1921,Jun,0
1921,Jul,0
1921,Aug,20
1921,Sep,30
1921,Oct,40
1921,Nov,810
1921,Dec,200
1922,Jan,0
1922,Feb,170
1922,Mar,1340
1922,Apr,70
1922,May,1090
1922,Jun,0
1922,Jul,0
1922,Aug,NA
1922,Sep,0
1922,Oct,210
1922,Nov,1310
1922,Dec,1480
1923,Jan,590
1923,Feb,550
1923,Mar,310
1923,Apr,910
1923,May,320
1923,Jun,0
1923,Jul,0
1923,Aug,0
1923,Sep,100
1923,Oct,130
1923,Nov,930
1923,Dec,1860
1924,Jan,410
1924,Feb,1350
1924,Mar,250
1924,Apr,2010
1924,May,40
1924,Jun,150
1924,Jul,0
1924,Aug,50
1924,Sep,20
1924,Oct,0
1924,Nov,2490
1924,Dec,1590
1925,Jan,1780
1925,Feb,110
1925,Mar,790
1925,Apr,0
1925,May,20
1925,Jun,0
1925,Jul,0
1925,Aug,NA
1925,Sep,170
1925,Oct,520
1925,Nov,1380
1925,Dec,1790
1926,Jan,0
1926,Feb,0
1926,Mar,150
1926,Apr,260
1926,May,190
1926,Jun,30
1926,Jul,0
1926,Aug,0
1926,Sep,954
1926,Oct,43
1926,Nov,278
1926,Dec,344
1927,Jan,254
1927,Feb,0
1927,Mar,3791
1927,Apr,1283
1927,May,216
1927,Jun,0
1927,Jul,10
1927,Aug,20
1927,Sep,0
1927,Oct,0
1927,Nov,556
1927,Dec,5905
1928,Jan,635
1928,Feb,0
1928,Mar,0
1928,Apr,1575
1928,May,0
1928,Jun,381
1928,Jul,0
1928,Aug,38
1928,Sep,0
1928,Oct,307
1928,Nov,264
1928,Dec,0
1929,Jan,360
1929,Feb,0
1929,Mar,70
1929,Apr,650
1929,May,0
1929,Jun,160
1929,Jul,80
1929,Aug,30
1929,Sep,163
1929,Oct,920
1929,Nov,580
1929,Dec,1517
1930,Jan,300
1930,Feb,430
1930,Mar,1369
1930,Apr,1270
1930,May,510
1930,Jun,50
1930,Jul,70
1930,Aug,70
1930,Sep,210
1930,Oct,450
1930,Nov,950
1930,Dec,1436
1931,Jan,0
1931,Feb,790
1931,Mar,790
1931,Apr,1390
1931,May,130
1931,Jun,0
1931,Jul,140
1931,Aug,10
1931,Sep,90
1931,Oct,0
1931,Nov,350
1931,Dec,1940
1932,Jan,190
1932,Feb,40
1932,Mar,570
1932,Apr,2240
1932,May,390
1932,Jun,0
1932,Jul,0
1932,Aug,100
1932,Sep,380
1932,Oct,40
1932,Nov,1060
1932,Dec,1890
1933,Jan,1150
1933,Feb,70
1933,Mar,140
1933,Apr,200
1933,May,250
1933,Jun,0
1933,Jul,100
1933,Aug,130
1933,Sep,0
1933,Oct,150
1933,Nov,900
1933,Dec,910
1934,Jan,0
1934,Feb,10
1934,Mar,270
1934,Apr,170
1934,May,510
1934,Jun,120
1934,Jul,0
1934,Aug,20
1934,Sep,10
1934,Oct,30
1934,Nov,260
1934,Dec,810
1935,Jan,0
1935,Feb,820
1935,Mar,380
1935,Apr,50
1935,May,110
1935,Jun,0
1935,Jul,0
1935,Aug,NA
1935,Sep,170
1935,Oct,30
1935,Nov,340
1935,Dec,830
1936,Jan,820
1936,Feb,1090
1936,Mar,1560
1936,Apr,1110
1936,May,180
1936,Jun,550
1936,Jul,0
1936,Aug,220
1936,Sep,300
1936,Oct,210
1936,Nov,2040
1936,Dec,1080
1937,Jan,40
1937,Feb,0
1937,Mar,630
1937,Apr,1580
1937,May,760
1937,Jun,30
1937,Jul,0
1937,Aug,116
1937,Sep,70
1937,Oct,580
1937,Nov,2450
1937,Dec,1380
1938,Jan,100
1938,Feb,360
1938,Mar,1100
1938,Apr,970
1938,May,330
1938,Jun,5
1938,Jul,0
1938,Aug,40
1938,Sep,50
1938,Oct,150
1938,Nov,770
1938,Dec,1670
1939,Jan,250
1939,Feb,0
1939,Mar,160
1939,Apr,670
1939,May,1070
1939,Jun,30
1939,Jul,20
1939,Aug,170
1939,Sep,210
1939,Oct,120
1939,Nov,2060
1939,Dec,170
1940,Jan,170
1940,Feb,1100
1940,Mar,1150
1940,Apr,650
1940,May,230
1940,Jun,0
1940,Jul,10
1940,Aug,130
1940,Sep,250
1940,Oct,520
1940,Nov,550
1940,Dec,810
1941,Jan,60
1941,Feb,10
1941,Mar,400
1941,Apr,1680
1941,May,90
1941,Jun,30
1941,Jul,70
1941,Aug,60
1941,Sep,60
1941,Oct,230
1941,Nov,1500
1941,Dec,3150
1942,Jan,120
1942,Feb,650
1942,Mar,880
1942,Apr,470
1942,May,110
1942,Jun,0
1942,Jul,0
1942,Aug,50
1942,Sep,0
1942,Oct,160
1942,Nov,1370
1942,Dec,720
1943,Jan,110
1943,Feb,1320
1943,Mar,730
1943,Apr,440
1943,May,130
1943,Jun,40
1943,Jul,40
1943,Aug,30
1943,Sep,0
1943,Oct,20
1943,Nov,590
1943,Dec,200
1944,Jan,620
1944,Feb,10
1944,Mar,430
1944,Apr,1020
1944,May,330
1944,Jun,20
1944,Jul,10
1944,Aug,10
1944,Sep,210
1944,Oct,540
1944,Nov,700
1944,Dec,520
1945,Jan,80
1945,Feb,60
1945,Mar,520
1945,Apr,430
1945,May,570
1945,Jun,100
1945,Jul,0
1945,Aug,10
1945,Sep,80
1945,Oct,10
1945,Nov,640
1945,Dec,220
1946,Jan,20
1946,Feb,0
1946,Mar,390
1946,Apr,770
1946,May,880
1946,Jun,0
1946,Jul,20
1946,Aug,60
1946,Sep,1380
1946,Oct,300
1946,Nov,150
1946,Dec,400
1947,Jan,210
1947,Feb,0
1947,Mar,1160
1947,Apr,1370
1947,May,430
1947,Jun,20
1947,Jul,0
1947,Aug,140
1947,Sep,120
1947,Oct,200
1947,Nov,570
1947,Dec,1550
1948,Jan,80
1948,Feb,200
1948,Mar,430
1948,Apr,830
1948,May,70
1948,Jun,80
1948,Jul,0
1948,Aug,10
1948,Sep,0
1948,Oct,200
1948,Nov,750
1948,Dec,1210
1949,Jan,20
1949,Feb,150
1949,Mar,10
1949,Apr,240
1949,May,70
1949,Jun,0
1949,Jul,270
1949,Aug,10
1949,Sep,60
1949,Oct,40
1949,Nov,420
1949,Dec,2020
1950,Jan,30
1950,Feb,360
1950,Mar,670
1950,Apr,560
1950,May,210
1950,Jun,0
1950,Jul,20
1950,Aug,50
1950,Sep,250
1950,Oct,10
1950,Nov,470
1950,Dec,820
1951,Jan,280
1951,Feb,50
1951,Mar,790
1951,Apr,1780
1951,May,510
1951,Jun,10
1951,Jul,20
1951,Aug,10
1951,Sep,10
1951,Oct,1500
1951,Nov,2130
1951,Dec,880
1952,Jan,50
1952,Feb,240
1952,Mar,260
1952,Apr,1270
1952,May,90
1952,Jun,0
1952,Jul,0
1952,Aug,30
1952,Sep,60
1952,Oct,380
1952,Nov,190
1952,Dec,1590
1953,Jan,570
1953,Feb,40
1953,Mar,730
1953,Apr,350
1953,May,440
1953,Jun,0
1953,Jul,80
1953,Aug,90
1953,Sep,200
1953,Oct,380
1953,Nov,1200
1953,Dec,980
1954,Jan,210
1954,Feb,30
1954,Mar,80
1954,Apr,980
1954,May,170
1954,Jun,50
1954,Jul,0
1954,Aug,60
1954,Sep,30
1954,Oct,430
1954,Nov,240
1954,Dec,750
1955,Jan,40
1955,Feb,450
1955,Mar,280
1955,Apr,510
1955,May,280
1955,Jun,90
1955,Jul,30
1955,Aug,10
1955,Sep,0
1955,Oct,120
1955,Nov,830
1955,Dec,1310
1956,Jan,1170
1956,Feb,270
1956,Mar,840
1956,Apr,220
1956,May,0
1956,Jun,40
1956,Jul,10
1956,Aug,20
1956,Sep,10
1956,Oct,40
1956,Nov,2610
1956,Dec,990
1957,Jan,250
1957,Feb,360
1957,Mar,1230
1957,Apr,960
1957,May,360
1957,Jun,20
1957,Jul,100
1957,Aug,20
1957,Sep,170
1957,Oct,400
1957,Nov,1640
1957,Dec,1980
1958,Jan,70
1958,Feb,1410
1958,Mar,1130
1958,Apr,1320
1958,May,130
1958,Jun,170
1958,Jul,10
1958,Aug,60
1958,Sep,0
1958,Oct,70
1958,Nov,380
1958,Dec,1230
